Material,Su,Sy,E,G,mu,Ro,Use
ANSI Steel SAE 9310 normalized,907,571,207000,79000,0.3,7860,False
ANSI Steel SAE 9310 annealed,820,440,207000,79000,0.3,7860,False
ANSI Steel SAE 30201 annealed,793,379,193000,743000,0.3,8030,False
ANSI Steel SAE 30201 1/4-hard,862,517,193000,743000,0.3,8030,False
ANSI Steel SAE 30201 1/2-hard,1034,758,193000,743000,0.3,8030,False
ANSI Steel SAE 30201 3/4-hard,1207,931,193000,743000,0.3,8030,False
ANSI Steel SAE 30201 Full-hard,1276,965,193000,743000,0.3,8030,False
ANSI Steel SAE 30202 annealed,724,379,193000,743000,0.3,8030,False
ANSI Steel SAE 30202 1/4-hard,862,517,193000,743000,0.3,8030,False
ANSI Steel SAE 30301 annealed,758,276,193000,743000,0.3,8030,False
ANSI Steel SAE 30301 1/4-hard,862,517,193000,743000,0.3,8030,False
ANSI Steel SAE 30301 1/2-hard,1034,758,193000,743000,0.3,8030,False
ANSI Steel SAE 30301 3/4-hard,1207,931,193000,743000,0.3,8030,False
ANSI Steel SAE 30301 Full-hard,1276,965,193000,743000,0.3,8030,False
ANSI Steel SAE 30302 annealed,621,255,193000,743000,0.3,8030,False
ANSI Steel SAE 30302 1/4-hard,862,517,193000,743000,0.3,8030,False
ANSI Steel SAE 30302B annealed,655,276,193000,743000,0.3,8030,False
ANSI Steel SAE 30303 annealed,621,241,193000,743000,0.3,8030,False
ANSI Steel SAE 30304 annealed,586,241,193000,743000,0.3,8030,False
ANSI Steel SAE 30304L annealed,552,207,193000,743000,0.3,8030,False
ANSI Steel SAE 30305 annealed,586,255,193000,743000,0.3,8030,False
ANSI Steel SAE 30308 annealed,586,241,193000,743000,0.3,8030,False
ANSI Steel SAE 30309 annealed,621,276,193000,743000,0.3,8030,False
ANSI Steel SAE 30310 annealed,655,276,193000,743000,0.3,8030,False
ANSI Steel SAE 30314 annealed,689,345,193000,743000,0.3,8030,False
ANSI Steel SAE 30316 annealed,586,241,193000,743000,0.3,8030,False
ANSI Steel SAE 30316L annealed,538,207,193000,743000,0.3,8030,False
ANSI Steel SAE 30317 annealed,621,276,193000,743000,0.3,8030,False
ANSI Steel SAE 30321 annealed,600,241,193000,743000,0.3,8030,False
ANSI Steel SAE 30347 annealed,634,241,193000,743000,0.3,8030,False
ANSI Steel SAE 30348 annealed,634,241,193000,743000,0.3,8030,False
ANSI Steel SAE 51403 annealed,517,276,200000,769000,0.3,8030,False
ANSI Steel SAE 51403 tempered at 400 F,1310,1000,200000,769000,0.3,8030,False
ANSI Steel SAE 51405 annealed,483,276,200000,769000,0.3,8030,False
ANSI Steel SAE 51410 annealed,517,276,200000,769000,0.3,8030,False
ANSI Steel SAE 51410 tempered at 400 F,1310,1000,200000,769000,0.3,8030,False
ANSI Steel SAE 51414 annealed,827,655,200000,769000,0.3,8030,False
ANSI Steel SAE 51414 tempered at 400 F,1379,1034,200000,769000,0.3,8030,False
ANSI Steel SAE 51416 annealed,517,276,200000,769000,0.3,8030,False
ANSI Steel SAE 51416 tempered at 400 F,1310,1000,200000,769000,0.3,8030,False
ANSI Steel SAE 51420 annealed,655,345,200000,769000,0.3,8030,False
ANSI Steel SAE 51420 tempered at 600 F,1586,1344,200000,769000,0.3,8030,False
ANSI Steel SAE 51430 annealed,517,310,200000,769000,0.3,8030,False
ANSI Steel SAE 51430F annealed,552,379,200000,769000,0.3,8030,False
ANSI Steel SAE 51431 annealed,862,655,200000,769000,0.3,8030,False
ANSI Steel SAE 51431 tempered at 400 F,1413,1069,200000,769000,0.3,8030,False
ANSI Steel SAE 51440A annealed,724,414,200000,769000,0.3,8030,False
ANSI Steel SAE 51440A tempered at 600 F,1793,1655,200000,769000,0.3,8030,False
ANSI Steel SAE 51440C annealed,758,448,200000,769000,0.3,8030,False
ANSI Steel SAE 51440C tempered at 600 F,1965,1896,200000,769000,0.3,8030,False
ANSI Steel SAE 51446 annealed,552,345,200000,769000,0.3,8030,False
ANSI Steel SAE 51501 annealed,483,207,200000,769000,0.3,8030,False
ANSI Steel SAE 51502 annealed,483,207,200000,769000,0.3,8030,False
ANSI Grey cast iron class 20 ,138,138,80000,32000,0.25,7160,False
ANSI Grey cast iron class 25 ,172,172,98000,39000,0.25,7160,False
ANSI Grey cast iron class 30 ,207,207,100000,40000,0.25,7160,False
ANSI Grey cast iron class 35 ,241,241,110000,44000,0.25,7160,False
ANSI Grey cast iron class 40 ,276,276,117000,47000,0.25,7160,False
ANSI Grey cast iron class 50 ,345,345,124000,50000,0.25,7160,False
ANSI Grey cast iron class 60 ,414,414,137000,55000,0.25,7160,False
ANSI Malleable cast iron ,276,207,172000,68000,0.27,7160,False
ANSI Malleable cast iron ,414,317,172000,68000,0.27,7160,True
ANSI Malleable cast iron ,552,427,172000,68000,0.27,7160,False
ANSI Malleable cast iron ,689,538,172000,68000,0.27,7160,False
ANSI Nodular cast iron ,414,276,159000,66000,0.2,7160,False
ANSI Nodular cast iron ,552,365,159000,66000,0.2,7160,False
ANSI Nodular cast iron ,689,455,159000,66000,0.2,7160,False
ANSI Nodular cast iron ,827,552,159000,66000,0.2,7160,False
ANSI Copper Alloy C80100 ,172,62,108000,40000,0.35,8930,False
ANSI High-Copper Alloy C81300 ,365,248,108000,40000,0.35,8930,False
ANSI High-Copper Alloy C81500 ,352,276,108000,40000,0.35,8930,False
ANSI High-Copper Alloy C81700 ,634,469,108000,40000,0.35,8930,False
ANSI Red brass C83300 ,221,69,100000,37000,0.34,8500,False
ANSI Red brass C83400 ,241,69,100000,37000,0.34,8500,False
ANSI Red brass C83600 ,255,117,100000,37000,0.34,8500,False
ANSI Red brass C83800 ,241,110,100000,37000,0.34,8500,False
ANSI Semi-red Brass C84200 ,241,97,100000,37000,0.34,8500,False
ANSI Semi-red Brass C84400 ,234,97,100000,37000,0.34,8500,False
ANSI Semi-red Brass C84500 ,241,97,100000,37000,0.34,8500,False
ANSI Semi-red Brass C84800 ,241,97,100000,37000,0.34,8500,False
ANSI Yellow Brass C85200 ,262,90,100000,37000,0.34,8500,False
ANSI Yellow Brass C85400 ,234,83,100000,37000,0.34,8500,False
ANSI Yellow Brass C85500 ,414,159,100000,37000,0.34,8500,False
ANSI Yellow Brass C85700 ,345,124,100000,37000,0.34,8500,False
ANSI Yellow Brass C85800 ,379,207,100000,37000,0.34,8500,False
ANSI Manganese Bronze C86100 ,655,345,120000,45000,0.31,8800,False
ANSI Manganese Bronze C86200 ,655,331,120000,45000,0.31,8800,False
ANSI Manganese Bronze C86300 ,793,572,120000,45000,0.31,8800,False
ANSI Manganese Bronze C86400 ,448,172,120000,45000,0.31,8800,False
ANSI Manganese Bronze C86500 ,490,193,120000,45000,0.31,8800,False
ANSI Manganese Bronze C86700 ,586,290,120000,45000,0.31,8800,False
ANSI Manganese Bronze C86800 ,565,262,120000,45000,0.31,8800,False
ANSI Silicon Brass C87200 ,379,172,120000,45000,0.31,8800,False
ANSI Silicon Bronze C87400 ,379,165,120000,45000,0.31,8800,False
ANSI Silicon Bronze C87500 ,462,207,120000,45000,0.31,8800,False
ANSI Silicon Bronze C87600 ,455,221,120000,45000,0.31,8800,False
ANSI Silicon Bronze C87800 ,586,345,120000,45000,0.31,8800,False
ANSI Silicon Bronze C87900 ,483,241,120000,45000,0.31,8800,False
ANSI Tin Bronze C90200 ,262,110,120000,45000,0.31,8800,False
ANSI Tin Bronze C90300 ,310,145,120000,45000,0.31,8800,False
ANSI Tin Bronze C90500 ,310,152,120000,45000,0.31,8800,False
ANSI Tin Bronze C90700 ,303,152,120000,45000,0.31,8800,False
ANSI Tin Bronze C90900 ,276,138,120000,45000,0.31,8800,False
ANSI Tin Bronze C91000 ,221,172,120000,45000,0.31,8800,False
ANSI Tin Bronze C91100 ,241,172,120000,45000,0.31,8800,False
ANSI Tin Bronze C91300 ,241,207,120000,45000,0.31,8800,False
ANSI Tin Bronze C91600 ,303,152,120000,45000,0.31,8800,False
ANSI Tin Bronze C91700 ,303,152,120000,45000,0.31,8800,False
ANSI Leaded Tin Bronze C92200 ,276,138,120000,45000,0.31,8800,False
ANSI Leaded Tin Bronze C92300 ,276,138,120000,45000,0.31,8800,False
ANSI Leaded Tin Bronze C92500 ,303,138,120000,45000,0.31,8800,False
ANSI Leaded Tin Bronze C92600 ,303,138,120000,45000,0.31,8800,False
ANSI Leaded Tin Bronze C92700 ,290,145,120000,45000,0.31,8800,False
ANSI Leaded Tin Bronze C92800 ,276,207,120000,45000,0.31,8800,False
ANSI Leaded Tin Bronze C92900 ,324,179,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C93200 ,241,124,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C93400 ,221,110,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C93500 ,221,110,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C93700 ,241,124,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C93800 ,207,110,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C93900 ,221,152,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C94300 ,186,90,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C94400 ,221,110,120000,45000,0.31,8800,False
ANSI High Leaded Tin Bronze C94500 ,172,83,120000,45000,0.31,8800,False
ANSI Nickel-Tin Bronze C94700 ,345,159,120000,45000,0.31,8800,False
ANSI Nickel-Tin Bronze C94800 ,310,159,120000,45000,0.31,8800,False
ANSI Aluminum Bronze C95200 ,552,186,120000,45000,0.32,8800,False
ANSI Aluminum Bronze C95300 ,517,186,120000,45000,0.32,8800,False
ANSI Aluminum Bronze C95400 ,586,241,120000,45000,0.32,8800,False
ANSI Aluminum Bronze C95500 ,689,303,120000,45000,0.32,8800,False
ANSI Aluminum Bronze C95600 ,517,234,120000,45000,0.32,8800,False
ANSI Aluminum Bronze C95700 ,655,310,120000,45000,0.32,8800,False
ANSI Aluminum Bronze C95800 ,655,262,120000,45000,0.32,8800,False
ANSI Copper-Nickel C96200 ,310,172,100000,37000,0.34,8500,False
ANSI Copper-Nickel C96300 ,517,379,100000,37000,0.34,8500,False
ANSI Copper-Nickel C96400 ,469,255,100000,37000,0.34,8500,False
ANSI Copper-Nickel C96600 ,758,483,100000,37000,0.34,8500,False
ANSI Nickel Silver C97300 ,241,117,100000,37000,0.34,8500,False
ANSI Nickel Silver C97400 ,262,117,100000,37000,0.34,8500,False
ANSI Nickel Silver C97600 ,310,165,100000,37000,0.34,8500,False
ANSI Nickel Silver C97800 ,379,207,100000,37000,0.34,8500,False
ANSI Special Alloy C99300 ,655,379,100000,37000,0.34,8500,False
ANSI Special Alloy C99400 ,455,234,100000,37000,0.34,8500,False
ANSI Special Alloy C99500 ,483,276,100000,37000,0.34,8500,False
ANSI Special Alloy C99700 ,379,172,100000,37000,0.34,8500,False
ANSI Special Alloy C99750 ,448,221,100000,37000,0.34,8500,False
ANSI Copper Alloy C10100 ,221,69,108000,40000,0.35,8930,False
ANSI Copper Alloy C15000 ,200,41,108000,40000,0.35,8930,False
ANSI Copper Alloy C15500 ,276,124,108000,40000,0.35,8930,False
ANSI Copper Alloy C15715 ,359,303,108000,40000,0.35,8930,False
ANSI Copper Alloy C15720 ,441,372,108000,40000,0.35,8930,False
ANSI Copper Alloy C15760 ,483,448,108000,40000,0.35,8930,False
ANSI Copper Alloy C16200 ,241,48,108000,40000,0.35,8930,False
ANSI Copper Alloy C16500 ,276,97,108000,40000,0.35,8930,False
ANSI Copper Alloy C17000 ,483,221,108000,40000,0.35,8930,False
ANSI Copper Alloy C17300 ,469,172,108000,40000,0.35,8930,False
ANSI Copper Alloy C17500 ,310,172,108000,40000,0.35,8930,False
ANSI Copper Alloy C18200 ,234,97,108000,40000,0.35,8930,False
ANSI Copper Alloy C18900 ,262,62,108000,40000,0.35,8930,False
ANSI Copper Alloy C19000 ,262,138,108000,40000,0.35,8930,False
ANSI Copper Alloy C19100 ,248,69,108000,40000,0.35,8930,False
ANSI Copper Alloy C19200 ,255,76,108000,40000,0.35,8930,False
ANSI Copper Alloy C19400 ,310,165,108000,40000,0.35,8930,False
ANSI Copper Alloy C19500 ,552,448,108000,40000,0.35,8930,False
ANSI Copper Alloy C21000 ,234,69,108000,40000,0.35,8930,False
ANSI Commercial bronze C22000 ,255,69,105000,40000,0.32,8800,False
ANSI Red brass C23000 ,269,69,105000,40000,0.32,8800,False
ANSI Low brass C24000 ,290,83,105000,40000,0.32,8800,False
ANSI Cartridge brass C26000 ,303,76,105000,40000,0.32,8800,False
ANSI Yellow brass C26800 ,317,97,105000,40000,0.32,8800,False
ANSI Muntz metal C28000 ,372,145,105000,40000,0.32,8800,False
ANSI Leaded commercial bronze C31400 ,255,83,105000,40000,0.32,8800,False
ANSI Low-leaded brass C33000 ,324,103,105000,40000,0.32,8800,False
ANSI High-leaded brass C34200 ,338,117,105000,40000,0.32,8800,False
ANSI Medium-leaded brass C35000 ,310,90,105000,40000,0.32,8800,False
ANSI Leaded Muntz metal C36500 As hot rolled,372,138,105000,40000,0.32,8800,False
ANSI Architectural bronze C38500 As extruded,414,138,105000,40000,0.32,8800,False
ANSI Copper Alloy C40500 ,269,83,105000,40000,0.32,8800,False
ANSI Copper Alloy C40800 ,290,90,105000,40000,0.32,8800,False
ANSI Copper Alloy C41100 ,269,76,105000,40000,0.32,8800,False
ANSI Copper Alloy C41300 ,283,83,105000,40000,0.32,8800,False
ANSI Copper Alloy C41500 ,317,117,105000,40000,0.32,8800,False
ANSI Copper Alloy C42200 ,296,103,105000,40000,0.32,8800,False
ANSI Copper Alloy C42500 ,310,124,105000,40000,0.32,8800,False
ANSI Copper Alloy C43000 ,317,124,105000,40000,0.32,8800,False
ANSI Copper Alloy C43400 ,310,103,105000,40000,0.32,8800,False
ANSI Copper Alloy C43500 ,317,110,105000,40000,0.32,8800,False
ANSI Copper Alloy C44300 ,331,124,105000,40000,0.32,8800,False
ANSI Copper Alloy C46400 ,379,172,105000,40000,0.32,8800,False
ANSI Copper Alloy C48200 ,386,172,105000,40000,0.32,8800,False
ANSI Copper Alloy C48500 ,393,172,105000,40000,0.32,8800,False
ANSI Copper Alloy C50500 ,276,97,105000,40000,0.32,8800,False
ANSI Copper Alloy C51000 ,324,131,105000,40000,0.32,8800,False
ANSI Copper Alloy C51100 ,317,345,105000,40000,0.32,8800,False
ANSI Copper Alloy C52100 ,379,165,105000,40000,0.32,8800,False
ANSI Copper Alloy C52400 ,455,193,105000,40000,0.32,8800,False
ANSI Copper Alloy C54400 ,303,131,105000,40000,0.32,8800,False
ANSI Copper Alloy C60800 ,414,186,105000,40000,0.32,8800,False
ANSI Copper Alloy C61000 ,359,117,105000,40000,0.32,8800,False
ANSI Copper Alloy C61300 ,483,207,105000,40000,0.32,8800,False
ANSI Copper Alloy C61400 ,524,228,105000,40000,0.32,8800,False
ANSI Copper Alloy C61500 ,483,152,105000,40000,0.32,8800,False
ANSI Copper Alloy C61800 ,552,269,105000,40000,0.32,8800,False
ANSI Copper Alloy C61900 ,634,338,105000,40000,0.32,8800,False
ANSI Copper Alloy C62300 ,517,241,105000,40000,0.32,8800,False
ANSI Copper Alloy C62400 ,621,276,105000,40000,0.32,8800,False
ANSI Copper Alloy C62500 As extruded,689,379,105000,40000,0.32,8800,False
ANSI Copper Alloy C63000 ,621,345,105000,40000,0.32,8800,False
ANSI Copper Alloy C63200 ,621,310,105000,40000,0.32,8800,False
ANSI Copper Alloy C63800 ,565,372,105000,40000,0.32,8800,False
ANSI Copper Alloy C64200 ,517,241,105000,40000,0.32,8800,False
ANSI Copper Alloy C65100 ,276,103,105000,40000,0.32,8800,False
ANSI Copper Alloy C65500 ,386,145,105000,40000,0.32,8800,False
ANSI Copper Alloy C66700 ,316,83,105000,40000,0.32,8800,False
ANSI Copper Alloy C67400 ,483,234,105000,40000,0.32,8800,False
ANSI Copper Alloy C67500 ,448,207,105000,40000,0.32,8800,False
ANSI Copper Alloy C68700 ,414,186,105000,40000,0.32,8800,False
ANSI Copper Alloy C68800 ,565,379,105000,40000,0.32,8800,False
ANSI Copper Alloy C69000 ,565,359,105000,40000,0.32,8800,False
ANSI Copper Alloy C69400 ,552,276,105000,40000,0.32,8800,False
ANSI Copper Alloy C70400 ,262,276,105000,40000,0.32,8800,False
ANSI Copper Alloy C70600 ,303,110,105000,40000,0.32,8800,False
ANSI Copper Alloy C71000 ,338,90,105000,40000,0.32,8800,False
ANSI Copper Alloy C71500 ,372,138,105000,40000,0.32,8800,False
ANSI Copper Alloy C72200 ,317,124,105000,40000,0.32,8800,False
ANSI Copper Alloy C72500 ,379,152,105000,40000,0.32,8800,False
ANSI Copper Alloy C73500 ,345,103,105000,40000,0.32,8800,False
ANSI Copper Alloy C74500 ,338,124,105000,40000,0.32,8800,False
ANSI Copper Alloy C75200 ,386,172,105000,40000,0.32,8800,False
ANSI Copper Alloy C75400 ,365,124,105000,40000,0.32,8800,False
ANSI Copper Alloy C75700 ,359,124,105000,40000,0.32,8800,False
ANSI Copper Alloy C76390 ,621,586,105000,40000,0.32,8800,False
ANSI Copper Alloy C77000 ,414,186,105000,40000,0.32,8800,False
ANSI Copper Alloy C78200 ,365,159,105000,40000,0.32,8800,False
ANSI Aluminum Alloy 201.0 Cast (T7),414,345,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 204.0 Cast (T4),310,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 208.0 Cast (F),131,83,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 242.0 Cast (T61),221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 242.0 Cast (T77),165,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 295.0 Cast (T4),200,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 295.0 Cast (T6),221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 295.0 Cast (T62),248,193,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 295.0 Cast (T7),200,110,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 319.0 Cast (F),159,90,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 319.0 Cast (T6),214,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 328.0 Cast (F),172,97,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 328.0 Cast (T6),234,145,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 355.0 Cast (T51),172,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 355.0 Cast (T6),221,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 355.0 Cast (T71),207,152,73000,26000,0.33,2700,False
ANSI Aluminum Alloy C355.0 Cast (T6),248,172,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 356.0 Cast (T51),159,110,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 356.0 Cast (T6),207,138,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 356.0 Cast (T7),214,200,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 356.0 Cast (T71),172,124,73000,26000,0.33,2700,False
ANSI Aluminum Alloy A356.0 Cast (T6),234,165,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 443.0 Cast (F),117,48,73000,26000,0.33,2700,False
ANSI Aluminum Alloy B443.0 Cast (F),117,41,73000,26000,0.33,2700,False
ANSI Aluminum Alloy 512.0 Cast (F),117,69,73000,26000,0.33,2700,False
